id,pop_resi,pop_work,total_pop,poi_total,price_sq_m,built_year,built_year_cat,WS_mean,poi_transit,poi_sport,poi_service,poi_education,poi_commerce,poi_tourism,poi_food,v_pop,v_resi,v_activity,v_business_density,v_business_mix,v_business_completeness,v_business_diversity,v_business,v_education,v_culture,v_recreation,v_healthcare,v_grocery,v_facility,v_street_quality,v_park,v_park_resi,v_quality
3366.000000 ,1092.116328 ,1968.774171 ,3060.890499 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,6.947132 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.176867 ,0.339131 ,0.016030 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.735577 ,0.636840 ,0.652934 ,0.609548 ,0.754022 ,0.677784 ,0.070618 ,0.000000 ,0.000000 ,0.035309 
3367.000000 ,1182.248469 ,1623.582142 ,2805.830611 ,8.000000 ,0.000000 ,0.000000 ,0.000000 ,16.608985 ,2.000000 ,0.000000 ,0.000000 ,1.000000 ,3.000000 ,0.000000 ,2.000000 ,0.160778 ,0.430736 ,0.024562 ,0.021739 ,0.976410 ,0.666667 ,0.650940 ,0.336339 ,0.811919 ,0.636423 ,0.674653 ,0.594233 ,0.811854 ,0.705817 ,0.168831 ,0.000000 ,0.000000 ,0.084416 
3368.000000 ,1286.261270 ,1370.968019 ,2657.229289 ,12.000000 ,0.000000 ,0.000000 ,0.000000 ,53.206150 ,3.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.151404 ,0.519715 ,0.024667 ,0.010870 ,0.905639 ,0.333333 ,0.301880 ,0.156375 ,0.876326 ,0.636130 ,0.696225 ,0.569172 ,0.881911 ,0.731953 ,0.540844 ,0.000000 ,0.000000 ,0.270422 
3369.000000 ,1480.996250 ,1716.255350 ,3197.251600 ,5.000000 ,0.000000 ,0.000000 ,0.000000 ,74.749483 ,4.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.185468 ,0.490126 ,0.033270 ,0.013587 ,0.860964 ,0.333333 ,0.286988 ,0.150287 ,0.887644 ,0.656693 ,0.729764 ,0.561024 ,0.963270 ,0.759679 ,0.759833 ,0.056844 ,0.027861 ,0.393847 
3370.000000 ,1523.740867 ,2009.229903 ,3532.970770 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,70.399400 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.206645 ,0.444837 ,0.044102 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.835557 ,0.675752 ,0.752886 ,0.554703 ,0.926566 ,0.749093 ,0.715614 ,0.195952 ,0.087167 ,0.401390 
3371.000000 ,1201.231912 ,2044.813721 ,3246.045633 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,55.109471 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.188546 ,0.357951 ,0.043731 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.802992 ,0.692492 ,0.753834 ,0.623374 ,0.859048 ,0.746348 ,0.560191 ,0.000393 ,0.000141 ,0.280166 
3372.000000 ,1457.534907 ,2009.154930 ,3466.689837 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,39.671542 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.202464 ,0.429438 ,0.066986 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.824307 ,0.702535 ,0.771310 ,0.697108 ,0.848155 ,0.768683 ,0.403264 ,0.000000 ,0.000000 ,0.201632 
3373.000000 ,1720.550403 ,2014.132903 ,3734.683307 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,44.919950 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.219369 ,0.486559 ,0.013639 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.813967 ,0.698038 ,0.777033 ,0.732467 ,0.863827 ,0.777066 ,0.456614 ,0.088405 ,0.043014 ,0.249814 
3374.000000 ,1179.309957 ,1729.310986 ,2908.620943 ,2.000000 ,0.000000 ,0.000000 ,0.000000 ,40.526313 ,2.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.167262 ,0.408173 ,0.029489 ,0.005435 ,0.500000 ,0.166667 ,0.083333 ,0.044384 ,0.748860 ,0.686520 ,0.772345 ,0.731023 ,0.845240 ,0.756798 ,0.411952 ,0.578001 ,0.235924 ,0.323938 
3375.000000 ,1231.283425 ,2181.761565 ,3413.044990 ,17.000000 ,89472.000000 ,2003.500000 ,>2003,61.000020 ,4.000000 ,0.000000 ,0.000000 ,0.000000 ,6.000000 ,0.000000 ,5.000000 ,0.199080 ,0.344752 ,0.019534 ,0.040761 ,0.993891 ,0.500000 ,0.496945 ,0.268853 ,0.738028 ,0.677813 ,0.774066 ,0.779314 ,0.909848 ,0.775814 ,0.620069 ,0.025162 ,0.008675 ,0.314372 
3376.000000 ,1329.258673 ,3028.892980 ,4358.151653 ,31.000000 ,91829.000000 ,2011.000000 ,>2003,62.744690 ,13.000000 ,0.000000 ,0.000000 ,0.000000 ,4.000000 ,0.000000 ,5.000000 ,0.258697 ,0.265640 ,0.022689 ,0.059783 ,0.935802 ,0.500000 ,0.467901 ,0.263842 ,0.765389 ,0.673868 ,0.763192 ,0.819954 ,0.941329 ,0.792747 ,0.637803 ,0.000000 ,0.000000 ,0.318902 
3377.000000 ,1379.781401 ,5382.692440 ,6762.473841 ,4.000000 ,0.000000 ,0.000000 ,0.000000 ,61.162633 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,1.000000 ,0.000000 ,0.000000 ,0.410359 ,0.122367 ,0.007311 ,0.005435 ,1.000000 ,0.333333 ,0.333333 ,0.169384 ,0.760713 ,0.694309 ,0.756014 ,0.801611 ,0.944099 ,0.791349 ,0.621722 ,0.000000 ,0.000000 ,0.310861 
3378.000000 ,1450.308942 ,4388.431429 ,5838.740371 ,11.000000 ,0.000000 ,0.000000 ,0.000000 ,54.972733 ,6.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,2.000000 ,0.352091 ,0.185311 ,0.009045 ,0.024457 ,0.886253 ,0.500000 ,0.443127 ,0.233792 ,0.775865 ,0.713300 ,0.758049 ,0.738749 ,0.858203 ,0.768833 ,0.558801 ,0.000000 ,0.000000 ,0.279401 
3379.000000 ,1534.612383 ,3033.277763 ,4567.890147 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,77.014245 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.271927 ,0.309559 ,0.016973 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.817763 ,0.730091 ,0.736225 ,0.759453 ,0.867729 ,0.782252 ,0.782854 ,0.257345 ,0.079664 ,0.431259 
3380.000000 ,2062.881347 ,2510.318037 ,4573.199383 ,17.000000 ,0.000000 ,0.000000 ,0.000000 ,85.344750 ,8.000000 ,0.000000 ,0.000000 ,3.000000 ,1.000000 ,0.000000 ,5.000000 ,0.272262 ,0.472916 ,0.030876 ,0.046196 ,0.928270 ,0.666667 ,0.618846 ,0.332521 ,0.868535 ,0.745996 ,0.729168 ,0.841296 ,0.926638 ,0.822327 ,0.867534 ,0.000000 ,0.000000 ,0.433767 
3381.000000 ,2160.921990 ,2309.843187 ,4470.765177 ,26.000000 ,73483.000000 ,2000.000000 ,<2000,82.539617 ,10.000000 ,0.000000 ,0.000000 ,0.000000 ,8.000000 ,0.000000 ,4.000000 ,0.265800 ,0.518698 ,0.017090 ,0.059783 ,0.971594 ,0.500000 ,0.485797 ,0.272790 ,0.896572 ,0.753319 ,0.738992 ,0.900335 ,0.943134 ,0.846471 ,0.839020 ,0.000000 ,0.000000 ,0.419510 
3382.000000 ,2196.688558 ,2245.480404 ,4442.168963 ,5.000000 ,0.000000 ,0.000000 ,0.000000 ,85.056350 ,4.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,0.263996 ,0.534539 ,0.018128 ,0.013587 ,0.860964 ,0.333333 ,0.286988 ,0.150287 ,0.940399 ,0.757987 ,0.759588 ,0.951788 ,0.933343 ,0.868621 ,0.864603 ,0.000000 ,0.000000 ,0.432301 
3383.000000 ,2025.171365 ,2095.550532 ,4120.721897 ,9.000000 ,0.000000 ,0.000000 ,0.000000 ,86.660214 ,3.000000 ,0.000000 ,0.000000 ,2.000000 ,1.000000 ,0.000000 ,3.000000 ,0.243720 ,0.530214 ,0.027541 ,0.024457 ,0.972765 ,0.666667 ,0.648510 ,0.336483 ,0.922780 ,0.761587 ,0.779301 ,0.953130 ,0.932936 ,0.869947 ,0.880906 ,0.000000 ,0.000000 ,0.440453 
3384.000000 ,1781.318766 ,1877.914486 ,3659.233251 ,2.000000 ,0.000000 ,0.000000 ,0.000000 ,90.079571 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,0.214610 ,0.523603 ,0.024770 ,0.005435 ,1.000000 ,0.333333 ,0.333333 ,0.169384 ,0.884554 ,0.764493 ,0.791388 ,0.856601 ,0.872191 ,0.833845 ,0.915664 ,0.000000 ,0.000000 ,0.457832 
3385.000000 ,1295.271819 ,1468.148290 ,2763.420108 ,15.000000 ,0.000000 ,0.000000 ,0.000000 ,84.032436 ,3.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,7.000000 ,0.158103 ,0.497947 ,0.030089 ,0.029891 ,0.891388 ,0.500000 ,0.445694 ,0.237793 ,0.861396 ,0.792143 ,0.797222 ,0.779730 ,0.779875 ,0.802073 ,0.854195 ,0.000000 ,0.000000 ,0.427097 
3386.000000 ,1210.428731 ,1539.923547 ,2750.352277 ,5.000000 ,0.000000 ,0.000000 ,0.000000 ,78.676275 ,2.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,1.000000 ,0.157278 ,0.457335 ,0.043578 ,0.010870 ,0.973197 ,0.500000 ,0.486599 ,0.248734 ,0.818702 ,0.818221 ,0.807734 ,0.801026 ,0.718079 ,0.792752 ,0.799749 ,0.040798 ,0.018658 ,0.409204 
3391.000000 ,945.029412 ,1191.607738 ,2136.637150 ,2.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,0.000000 ,0.118566 ,0.460454 ,0.084142 ,0.005435 ,1.000000 ,0.333333 ,0.333333 ,0.169384 ,0.699502 ,0.838193 ,0.811269 ,0.643311 ,0.787001 ,0.755855 ,0.000000 ,0.656742 ,0.302399 ,0.151200 
3392.000000 ,1152.556685 ,1430.169178 ,2582.725863 ,0.000000 ,76913.000000 ,2006.000000 ,>2003,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.146705 ,0.466070 ,0.004931 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.736670 ,0.844036 ,0.809588 ,0.705762 ,0.794936 ,0.778198 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
3393.000000 ,1263.029417 ,1515.148333 ,2778.177750 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,68.372100 ,1.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.159034 ,0.477946 ,0.005932 ,0.002717 ,0.500000 ,0.166667 ,0.083333 ,0.043025 ,0.793410 ,0.849140 ,0.818332 ,0.756498 ,0.803578 ,0.804192 ,0.695006 ,0.339590 ,0.162306 ,0.428656 
3394.000000 ,1718.457727 ,1892.326270 ,3610.783997 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,76.495229 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.211554 ,0.508168 ,0.044293 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.861369 ,0.859350 ,0.822296 ,0.842517 ,0.841410 ,0.845388 ,0.777578 ,0.132271 ,0.067216 ,0.422397 
3395.000000 ,2174.649337 ,2322.378090 ,4497.027427 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,84.265811 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.267457 ,0.519025 ,0.025569 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.881429 ,0.864098 ,0.818897 ,0.907252 ,0.880990 ,0.870533 ,0.856567 ,0.000000 ,0.000000 ,0.428283 
